Dataset length,Binary_MPI_time,Linear_MPI_time,Binary_omp_time,Linear_omp_time,Binary_pthreads,Linear_pthreads, Binary_Sequential, Linear_Sequential
10,0.03570300,0.03108500,0.439128,0.380484,0.511077,1.01242,0.000637,0.029196
50,0.03829300,0.03081800,0.445089,0.390007,0.540391,0.566374,0.000505,0.023952
100,0.02808700,0.02936600,0.423669,0.370279,0.567877,0.520782,0.000554,0.025881
500,0.03532200,0.06229000,0.436679,0.413937,0.631691,0.64437,0.000582,0.036165
1000,0.04753200,0.07754600,0.328926,0.392091,0.529721,0.648796,0.000605,0.029204
5000,0.03869400,0.04522400,0.421509,0.377638,0.590237,0.651351,0.000687,0.064457
10000,0.05050300,0.05737100,0.227251,0.24759,0.557185,0.2184,0.000242,0.030402
50000,0.07564100,0.12049900,0.458837,0.35812,0.431524,0.281711,0.000371,0.139049
100000,0.10670800,0.22324500,0.323446,0.494439,0.886948,0.449995,0.000644,0.230407
500000,0.41023600,0.84354800,0.250397,0.332925,0.359008,0.514518,0.000357,1.25776
1000000,0.75906400,1.70697400,0.230564,0.485162,0.363516,0.418176,0.000717,2.53193
5000000,3.54206900,8.04213700,0.27528,1.36224,0.393742,1.3489,0.000861,2.1336
10000000,6.91769300,17.64379400,0.250831,2.55425,0.458116,2.53285,0.000985,26.145
50000000,38.93339100,68.15201100,0.256075,13.1412,0.346309,12.4636,0.001556,2.23086
100000000,75.47978000,127.70058800,0.254148,36.1948,0.250858,27.5144,0.007238,2.6426
